,Unnamed: 0,Unnamed: 0.1,label,title,script,numerics,upper,word_count,num_exclamation_marks,num_question_marks,num_punctuation,avg_word,contro,names,nouns,adjectives,verbs,nouns_vs_words,adjectives_vs_words,verbs_vs_words
0,0,0,fail,How to Be a Gentleman,one last kind,0,1,9,0,0,1,2.6666666666666665,0,0,1,1,1,0.1111111111111111,0.1111111111111111,0.1111111111111111
1,1,1,fail,How to Be a Gentleman,came ruled world,0,0,8,0,0,2,4.375,0,0,1,0,2,0.125,0.0,0.25
2,2,2,fail,How to Be a Gentleman,everyday carry proud legacy,0,1,7,0,0,2,4.857142857142857,0,0,1,2,1,0.14285714285714285,0.2857142857142857,0.14285714285714285
3,3,3,fail,How to Be a Gentleman,open door lady doorman,0,2,13,0,0,2,3.0,0,0,3,0,2,0.2307692307692308,0.0,0.15384615384615385
4,4,4,fail,How to Be a Gentleman,protect fellow citizens policeman,0,2,10,0,0,1,4.2,0,0,2,1,2,0.2,0.1,0.2
5,5,5,fail,How to Be a Gentleman,put cigarettes cigarette putterouter man,0,2,12,0,0,1,4.333333333333333,1,0,4,0,2,0.3333333333333333,0.0,0.16666666666666666
6,6,6,fail,How to Be a Gentleman,gentleman,0,1,4,0,0,1,3.5,0,0,1,0,1,0.25,0.0,0.25
7,7,7,fail,How to Be a Gentleman,oop,0,0,1,0,0,1,4.0,0,0,1,0,0,1.0,0.0,0.0
8,8,8,fail,How to Be a Gentleman,close,0,0,3,0,0,1,4.333333333333333,0,0,0,1,1,0.0,0.3333333333333333,0.3333333333333333
9,9,9,fail,How to Be a Gentleman,jerry hey,0,0,2,0,0,2,5.0,0,1,2,0,0,1.0,0.0,0.0
10,10,10,fail,How to Be a Gentleman,never miss,0,0,2,0,0,1,5.0,0,0,1,0,0,0.5,0.0,0.0
11,11,11,fail,How to Be a Gentleman,andrew ive got good news,0,0,6,0,0,2,4.5,0,0,3,1,1,0.5,0.16666666666666666,0.16666666666666666
12,12,12,fail,How to Be a Gentleman,magazins sold,0,0,4,0,0,1,5.25,0,0,1,0,2,0.25,0.0,0.5
13,13,13,fail,How to Be a Gentleman,gentleman receives bad news never loss words,0,0,14,0,0,2,3.928571428571429,0,0,4,1,2,0.2857142857142857,0.07142857142857142,0.14285714285714285
14,14,14,fail,How to Be a Gentleman,,0,0,1,0,1,0,5.0,0,0,0,0,0,0.0,0.0,0.0
15,15,15,fail,How to Be a Gentleman,yep,0,0,1,0,0,1,4.0,0,0,1,0,0,1.0,0.0,0.0
16,16,16,fail,How to Be a Gentleman,new owners changing entire format,0,0,7,0,0,1,5.142857142857143,0,0,3,1,2,0.42857142857142855,0.14285714285714285,0.2857142857142857
17,17,17,fail,How to Be a Gentleman,urbane upscale,0,0,5,0,0,1,4.6,0,0,0,2,0,0.0,0.4,0.0
18,18,18,fail,How to Be a Gentleman,going young sexy women thongs articles abs,0,0,12,0,0,3,4.666666666666667,0,0,5,2,2,0.4166666666666667,0.16666666666666666,0.16666666666666666
19,19,19,fail,How to Be a Gentleman,yep want expand readership targeting people read,0,0,13,0,0,2,4.846153846153847,0,0,3,0,5,0.2307692307692308,0.0,0.38461538461538464
20,20,20,fail,How to Be a Gentleman,insane,0,0,3,0,0,1,4.333333333333333,0,0,0,1,1,0.0,0.3333333333333333,0.3333333333333333
21,21,21,fail,How to Be a Gentleman,taking well,0,0,7,0,1,0,3.7142857142857135,0,0,0,0,2,0.0,0.0,0.2857142857142857
22,22,22,fail,How to Be a Gentleman,simple,0,0,1,0,0,1,7.0,0,0,1,0,0,1.0,0.0,0.0
23,23,23,fail,How to Be a Gentleman,faking,0,0,3,0,0,1,4.0,0,0,1,0,1,0.3333333333333333,0.0,0.3333333333333333
24,24,24,fail,How to Be a Gentleman,look unacceptable,0,0,4,0,0,2,6.0,0,0,0,1,2,0.0,0.25,0.5
25,25,25,fail,How to Be a Gentleman,editor,0,0,3,0,0,1,5.333333333333333,0,0,2,0,0,0.6666666666666666,0.0,0.0
26,26,26,fail,How to Be a Gentleman,walk tell changing thing,0,0,17,0,0,1,3.8235294117647056,0,0,1,1,4,0.05882352941176471,0.05882352941176471,0.2352941176470588
