,label,title,script
0,fail,How to Be a Gentleman,I am one of the last of my kind.
1,fail,How to Be a Gentleman,"Those who came before me, ruled the world."
2,fail,How to Be a Gentleman,"Everyday, I carry on their proud legacy."
3,fail,How to Be a Gentleman,"I open the door for a lady, but I am not a doorman."
4,fail,How to Be a Gentleman,I protect fellow citizens but I am not a policeman.
5,fail,How to Be a Gentleman,I put out cigarettes but I am not a cigarette putter-outer man.
6,fail,How to Be a Gentleman,I am a gentleman.
7,fail,How to Be a Gentleman,Oop.
8,fail,How to Be a Gentleman,That was close.
9,fail,How to Be a Gentleman,"Jerry, hey."
10,fail,How to Be a Gentleman,Never miss.
11,fail,How to Be a Gentleman,"Andrew, I've got some good news."
12,fail,How to Be a Gentleman,The magazin's been sold.
13,fail,How to Be a Gentleman,"When a gentleman receives bad news, he is never at a loss for words."
14,fail,How to Be a Gentleman,What?
15,fail,How to Be a Gentleman,Yep.
16,fail,How to Be a Gentleman,New owners are changing the entire format.
17,fail,How to Be a Gentleman,No more urbane and upscale.
18,fail,How to Be a Gentleman,"We're going young and sexy; be women in thongs, articles about abs."
19,fail,How to Be a Gentleman,"Yep, they want to expand the readership by targeting people who don't read."
20,fail,How to Be a Gentleman,This is insane.
21,fail,How to Be a Gentleman,How are you taking this so well?
22,fail,How to Be a Gentleman,Simple.
23,fail,How to Be a Gentleman,I'm faking it.
24,fail,How to Be a Gentleman,"Look, this is unacceptable."
25,fail,How to Be a Gentleman,You're the editor.
26,fail,How to Be a Gentleman,We should both walk in there right now and tell them we are not changing a thing.
27,fail,How to Be a Gentleman,"I was thinking about doing that, I'm 50."
28,fail,How to Be a Gentleman,"So I decided that I'm actually very, very excited about the new direction."
29,fail,How to Be a Gentleman,As is Cody.
30,fail,How to Be a Gentleman,Who is Cody?
31,fail,How to Be a Gentleman,Cody is my new boss.
32,fail,How to Be a Gentleman,"Who, by the way, is the same age as my son."
33,fail,How to Be a Gentleman,churn out mindless drivel for the lowest common denominator?
34,fail,How to Be a Gentleman,That'd be great.
35,fail,How to Be a Gentleman,You're catching on to this much faster than I thought you would.
36,fail,How to Be a Gentleman,"Your ""How to be a Gentleman"" is just too tame."
37,fail,How to Be a Gentleman,"So, Cody would like a sexier angle."
38,fail,How to Be a Gentleman,I can't believe this.
39,fail,How to Be a Gentleman,I feel like my whole world is falling apart.
40,fail,How to Be a Gentleman,"Oh, that's cause it is."
41,fail,How to Be a Gentleman,"Happy birthday, honey."
42,fail,How to Be a Gentleman,"Oh, isn't it great, spending your birthday with your family?"
43,fail,How to Be a Gentleman,"Yes, Mom, it is perfect."
44,fail,How to Be a Gentleman,"Perfect situation to wear a vest, hmm?"
45,fail,How to Be a Gentleman,"Ah I read your column, Andrew."
46,fail,How to Be a Gentleman,"I wanted to wear a vest, but my wife pooh-poohed the idea."
47,fail,How to Be a Gentleman,I'm sorry.
48,fail,How to Be a Gentleman,I still want to be attracted to you.
49,fail,How to Be a Gentleman,Call me crazy.
50,fail,How to Be a Gentleman,You really want to be like my brother?
51,fail,How to Be a Gentleman,Look at him.
52,fail,How to Be a Gentleman,He's spending his birthday with us because he has no friends.
53,fail,How to Be a Gentleman,"I'll be your friend, Andrew."
54,fail,How to Be a Gentleman,"We could be ""vest friends."
55,fail,How to Be a Gentleman,""" Honey, you're doing it again."
56,fail,How to Be a Gentleman,What's that?
57,fail,How to Be a Gentleman,Talking.
58,fail,How to Be a Gentleman,"Oh, I love hearing you say words, Mike."
59,fail,How to Be a Gentleman,"Oh, remember the time you said chimichanga?"
60,fail,How to Be a Gentleman,We laughed!
61,fail,How to Be a Gentleman,"Look, I love you, but you're fussy, you talk weird and you dress like a ship captain."
62,fail,How to Be a Gentleman,Oh.
63,fail,How to Be a Gentleman,Is this my birthday present from you?
64,fail,How to Be a Gentleman,"'Cause you gave me a huge basket of bitchiness last year, too."
65,fail,How to Be a Gentleman,"Well, I'm just looking out for you, like I always have."
66,fail,How to Be a Gentleman,"Oh, like when I was in third grade and you walked into my homeroom on the first day of school and said, ""Don't beat up my little brother."
67,fail,How to Be a Gentleman,He's very weak and has no peripheral vision.
68,fail,How to Be a Gentleman,""" He gets that from me."
69,fail,How to Be a Gentleman,I literally can't see this.
70,fail,How to Be a Gentleman,See that?
71,fail,How to Be a Gentleman,I can.
72,fail,How to Be a Gentleman,But nothing.
73,fail,How to Be a Gentleman,"Look, doofus, you're so smart and good and kind, but the world doesn't know that because they can't see past your brass buttons."
74,fail,How to Be a Gentleman,My uncle had a brass eyeball.
75,fail,How to Be a Gentleman,"Kept it under a patch, so it was all, it's all legit."
76,fail,How to Be a Gentleman,Peek-a-boo was quite traumatic.
77,fail,How to Be a Gentleman,Ah!
78,fail,How to Be a Gentleman,What is it?
79,fail,How to Be a Gentleman,"Dude, you drive people away."
80,fail,How to Be a Gentleman,That's why Lauren dumped you.
81,fail,How to Be a Gentleman,Lauren did not dump me.
82,fail,How to Be a Gentleman,I released her at her request.
83,fail,How to Be a Gentleman,"Her loss, our gain, Andrew."
84,fail,How to Be a Gentleman,"Plus, I'm sure there's a nice girl out there that would love to date a lonely ship captain."
85,fail,How to Be a Gentleman,I think it's time for birthday presents.
86,fail,How to Be a Gentleman,"Yeah, birthday presents."
87,fail,How to Be a Gentleman,Thank you.
88,fail,How to Be a Gentleman,This is from me and Mike.
89,fail,How to Be a Gentleman,It's a gift certificate for a training session at a gym.
90,fail,How to Be a Gentleman,"Well, that was fun."
91,fail,How to Be a Gentleman,"A gentleman always uses a gift, even if he doesn't like it or the musty place he has to go to redeem it."
92,fail,How to Be a Gentleman,Hi.
93,fail,How to Be a Gentleman,I have a gift certificate for a training session Excuse me-- Andrew Carlson?
94,fail,How to Be a Gentleman,Yeah.
95,fail,How to Be a Gentleman,Dead arm!
96,fail,How to Be a Gentleman,Bert Lansing From high school!
97,fail,How to Be a Gentleman,Huh?
98,fail,How to Be a Gentleman,Me and my buddies used to dead arm you all the time.
99,fail,How to Be a Gentleman,You don't remember me?
100,fail,How to Be a Gentleman,"I remember getting hit, but I don't remember by whom."
101,fail,How to Be a Gentleman,Whom?
102,fail,How to Be a Gentleman,"That's great, bro."
103,fail,How to Be a Gentleman,That makes me want to dead arm you again.
104,fail,How to Be a Gentleman,I was state wrestling champ?
105,fail,How to Be a Gentleman,Uh I got expelled my senior year?
106,fail,How to Be a Gentleman,For credit card fraud?
107,fail,How to Be a Gentleman,That's the one.
108,fail,How to Be a Gentleman,"That was never proven, by the way."
109,fail,How to Be a Gentleman,"Nice seeing you again, Bert."
110,fail,How to Be a Gentleman,"I'd shake your hand, but I can't quite lift my arm."
111,fail,How to Be a Gentleman,"Sure, that's the dead armt work."
112,fail,How to Be a Gentleman,"Man, I couldn't stand you in high school."
113,fail,How to Be a Gentleman,You were the worst.
114,fail,How to Be a Gentleman,I'm sorry?
115,fail,How to Be a Gentleman,Always complaining that the dress code wasn't strict enough.
116,fail,How to Be a Gentleman,"You tried to get rid of jeans, dude."
117,fail,How to Be a Gentleman,That would've killed me.
118,fail,How to Be a Gentleman,I only had two pairs of pants back then.
119,fail,How to Be a Gentleman,My jeans and my church jeans.
120,fail,How to Be a Gentleman,"Well, it was good seeing you again, Bert."
121,fail,How to Be a Gentleman,"I have a private training session, so I should probably go find my trainer."
122,fail,How to Be a Gentleman,"Look no further, my friend."
123,fail,How to Be a Gentleman,This is my gym.
124,fail,How to Be a Gentleman,Bert's Body Shop.
125,fail,How to Be a Gentleman,I took the place over from my old man when he got sick.
126,fail,How to Be a Gentleman,Cancer of the penis.
127,fail,How to Be a Gentleman,"Oh, my God."
128,fail,How to Be a Gentleman,I'm so sorry.
129,fail,How to Be a Gentleman,"That's I'm messing with you, dude."
130,fail,How to Be a Gentleman,His penis is fine.
131,fail,How to Be a Gentleman,"He's retired, but he still volunteers seven days a week being a pain in my ass."
132,fail,How to Be a Gentleman,"All right, let's grab your credit card info so we can get you signed up for a membership pronto."
133,fail,How to Be a Gentleman,"The sooner we do that, the sooner we can get you an adult male body."
134,fail,How to Be a Gentleman,"As much as I'm enjoying you and these odors, I'm gonna go now, Bert."
135,fail,How to Be a Gentleman,"So, good-bye."
136,fail,How to Be a Gentleman,Wait-wait-wait-wait- wait-wait.
137,fail,How to Be a Gentleman,"I know this just looks like a regular gym, but it's way more than that."
138,fail,How to Be a Gentleman,"See, I got a whole philosophy, bro."
139,fail,How to Be a Gentleman,"I'm into the whole Asian thing of mind, body and spirit."
140,fail,How to Be a Gentleman,Also tanning.
141,fail,How to Be a Gentleman,The trainer just ended up being this creep from high school who beat me up all the time.
142,fail,How to Be a Gentleman,Who?
143,fail,How to Be a Gentleman,Johnny?
144,fail,How to Be a Gentleman,No.
145,fail,How to Be a Gentleman,Steven?
146,fail,How to Be a Gentleman,No.
147,fail,How to Be a Gentleman,Asian Steven?
148,fail,How to Be a Gentleman,"Is it a bird, Andrew?"
149,fail,How to Be a Gentleman,Is it a plane?
150,fail,How to Be a Gentleman,"No, it's Superman!"
151,fail,How to Be a Gentleman,"Get out, Mike."
152,fail,How to Be a Gentleman,"Well, I better go."
153,fail,How to Be a Gentleman,Bit gusty today.
154,fail,How to Be a Gentleman,Waah!
155,fail,How to Be a Gentleman,- Bye.
156,fail,How to Be a Gentleman,- Bye.
157,fail,How to Be a Gentleman,He's super desperate for attention because I'm going out with Craig from work tonight.
158,fail,How to Be a Gentleman,"Oh, Janet, come on."
159,fail,How to Be a Gentleman,You gotta stop spending time with this Craig guy.
160,fail,How to Be a Gentleman,It's just two friends who like to get together and gossip about their co-workers.
161,fail,How to Be a Gentleman,Janet?
162,fail,How to Be a Gentleman,Janet?
163,fail,How to Be a Gentleman,I didn't know we had an escalator installed.
164,fail,How to Be a Gentleman,Going down.
165,fail,How to Be a Gentleman,Why would superman need an escalator?
166,fail,How to Be a Gentleman,I gotta go.
167,fail,How to Be a Gentleman,Okay.
168,fail,How to Be a Gentleman,Love you.
169,fail,How to Be a Gentleman,Bye.
170,fail,How to Be a Gentleman,Andrew.
171,fail,How to Be a Gentleman,"Hey, Jerry!"
172,fail,How to Be a Gentleman,Cody's been breathing down my neck about your column.
173,fail,How to Be a Gentleman,I gotta give him something.
174,fail,How to Be a Gentleman,So pitch me your sexy new direction.
175,fail,How to Be a Gentleman,No.
176,fail,How to Be a Gentleman,"I will not change my column, all right?"
177,fail,How to Be a Gentleman,It goes against my principles.
178,fail,How to Be a Gentleman,I've got to put my foot down.
179,fail,How to Be a Gentleman,Then I'll have to fire you.
180,fail,How to Be a Gentleman,What time is it due?
181,fail,How to Be a Gentleman,There you go.
182,fail,How to Be a Gentleman,"Remember, we're going after that demographic Holy Grail: men in their mid-to-late 30s who act like they're 15."
183,fail,How to Be a Gentleman,"But I don't know anyone like Okay, never mind."
184,fail,How to Be a Gentleman,"This is great, man!"
185,fail,How to Be a Gentleman,"getting together, reconnecting like adults."
186,fail,How to Be a Gentleman,"I was thinking more of a restaurant, not a strip club."
187,fail,How to Be a Gentleman,How are you?
188,fail,How to Be a Gentleman,"So, what have you been up to since high school?"
189,fail,How to Be a Gentleman,"After senior year, you just disappeared."
190,fail,How to Be a Gentleman,Where'd you go?
191,fail,How to Be a Gentleman,I graduated.
192,fail,How to Be a Gentleman,I went to college.
193,fail,How to Be a Gentleman,Nice.
194,fail,How to Be a Gentleman,"Yeah, I always wanted to go to college."
195,fail,How to Be a Gentleman,"Long story short, I got hit by an airport bus which gave me the money to buy my dad's gym, which was great 'cause I love helping people."
196,fail,How to Be a Gentleman,"That's great, you can help me."
197,fail,How to Be a Gentleman,"Tell me, what does a person like you like to read?"
198,fail,How to Be a Gentleman,Sports scores.
199,fail,How to Be a Gentleman,Perfect.
200,fail,How to Be a Gentleman,Nice.
201,fail,How to Be a Gentleman,Let's toss these shots back.
202,fail,How to Be a Gentleman,"Oh, no, thank you."
203,fail,How to Be a Gentleman,I try not to drink at 10:30 in the morning on a Wednesday.
204,fail,How to Be a Gentleman,It's Friday somewhere.
205,fail,How to Be a Gentleman,"No, it's not."
206,fail,How to Be a Gentleman,Come on.
207,fail,How to Be a Gentleman,It's on me.
208,fail,How to Be a Gentleman,"It's rude for a gentleman to turn down a drink, right?"
209,fail,How to Be a Gentleman,"Okay, I'll have a shot."
210,fail,How to Be a Gentleman,Just one.
211,fail,How to Be a Gentleman,Cheers.
212,fail,How to Be a Gentleman,"No one cares about being a gentleman anymore, you know?"
213,fail,How to Be a Gentleman,"You send an invitation that says ""evening wear."
214,fail,How to Be a Gentleman,""" Nobody wears evening wear."
215,fail,How to Be a Gentleman,"I was at a wedding, guy showed up in a Hawaiian shirt and cargo shorts."
216,fail,How to Be a Gentleman,"I mean, it was on a beach, but still white linen was called for."
217,fail,How to Be a Gentleman,How are you so drunk off two shots?
218,fail,How to Be a Gentleman,I only had a grapefruit half for breakfast.
219,fail,How to Be a Gentleman,You know what?
220,fail,How to Be a Gentleman,You're the kind of guy who shows up in shorts.
221,fail,How to Be a Gentleman,"I mean, it's people like you are the reason Yeah, it's people I golike you are the reason that I don't have any friends."
222,fail,How to Be a Gentleman,And people like you are the reason I'm carrying around my ex-fianc̩e's sock like it's a friggin' sock.
223,fail,How to Be a Gentleman,"Dude, first of all, you got to throw some protein in there with that citrus."
224,fail,How to Be a Gentleman,"Secondly, I'm not taking the rap for that sock."
225,fail,How to Be a Gentleman,"No, it's just, Lauren dumped me for a guy like you."
226,fail,How to Be a Gentleman,"You know, with the muscles and the machismo, you know, who doesn't know the difference between a pinot blanc and a pinot noir."
227,fail,How to Be a Gentleman,"Actually, that's not a good example 'cause that guy owns a winery."
228,fail,How to Be a Gentleman,"Man, you're messed up bad."
229,fail,How to Be a Gentleman,"You know everything about being a gentleman, but nothing about being a man."
230,fail,How to Be a Gentleman,What are you talking about?
231,fail,How to Be a Gentleman,"You see, life is a big jerk: It punches you in the face over and over again."
232,fail,How to Be a Gentleman,You gotta fight back or it'll knock you out.
233,fail,How to Be a Gentleman,Uh-oh.
234,fail,How to Be a Gentleman,Here it comes.
235,fail,How to Be a Gentleman,Wait a sec.
236,fail,How to Be a Gentleman,Are you gonna throw up on me?
237,fail,How to Be a Gentleman,"No, no, no, no I'm getting an idea."
238,fail,How to Be a Gentleman,"You should be my client, dude!"
239,fail,How to Be a Gentleman,"You see, I deal with the entirety of the totality of all that you are completely."
240,fail,How to Be a Gentleman,Check this out.
241,fail,How to Be a Gentleman,You know what this is?
242,fail,How to Be a Gentleman,It's a big black circle.
243,fail,How to Be a Gentleman,"No, it's a yin-yang without the yin."
244,fail,How to Be a Gentleman,It's a yang-yang.
245,fail,How to Be a Gentleman,It means that everything is of equal importance.
246,fail,How to Be a Gentleman,"It's covering up an ex-girlfriend's name, isn't it?"
247,fail,How to Be a Gentleman,"Well, yeah, but it's also my training philosophy."
248,fail,How to Be a Gentleman,"You see, the mind and the body are the same."
249,fail,How to Be a Gentleman,"When I look at you, your body I get sad."
250,fail,How to Be a Gentleman,Look at that guy.
251,fail,How to Be a Gentleman,He's uptight.
252,fail,How to Be a Gentleman,He's lonely.
253,fail,How to Be a Gentleman,And the last time he was intimate was with a sock.
254,fail,How to Be a Gentleman,I just carry around the sock.
255,fail,How to Be a Gentleman,I'm not having sex with it.
256,fail,How to Be a Gentleman,"Well, maybe you are and maybe you aren't."
257,fail,How to Be a Gentleman,I am not having sex with a sock!
258,fail,How to Be a Gentleman,"Okay, okay."
259,fail,How to Be a Gentleman,Calm down.
260,fail,How to Be a Gentleman,"My point is, well, I was a jerk to you in high school, but the universe is giving me a chance to make amends."
261,fail,How to Be a Gentleman,I know I can help you.
262,fail,How to Be a Gentleman,"Hell, I already got you a new friend."
263,fail,How to Be a Gentleman,You did?
264,fail,How to Be a Gentleman,Who?
265,fail,How to Be a Gentleman,Me.
266,fail,How to Be a Gentleman,So what do you say?
267,fail,How to Be a Gentleman,You want to be the yang to my yang?
268,fail,How to Be a Gentleman,"I can't believe I'm saying this, but yang."
269,fail,How to Be a Gentleman,I mean yes.
270,fail,How to Be a Gentleman,Let's get this guy a lap dance.
271,fail,How to Be a Gentleman,"Oh, no."
272,fail,How to Be a Gentleman,"No, no, no, no, no, no, no."
273,fail,How to Be a Gentleman,"Well, the brunette has a kind face."
274,fail,How to Be a Gentleman,This is step one of my multi-step process.
275,fail,How to Be a Gentleman,You need to bury the past by having a funeral for your old relationship.
276,fail,How to Be a Gentleman,You need to burn that sock.
277,fail,How to Be a Gentleman,I don't want to burn the sock.
278,fail,How to Be a Gentleman,Hey.
279,fail,How to Be a Gentleman,"For God's sake, that is my milk."
280,fail,How to Be a Gentleman,At least use a glass.
281,fail,How to Be a Gentleman,What?
282,fail,How to Be a Gentleman,There's just a little bit left.
283,fail,How to Be a Gentleman,"No, there isn't."
284,fail,How to Be a Gentleman,"Oh, really?"
285,fail,How to Be a Gentleman,"See, I told you."
286,fail,How to Be a Gentleman,Let's burn that sock.
287,fail,How to Be a Gentleman,Lighter.
288,fail,How to Be a Gentleman,Should I say something?
289,fail,How to Be a Gentleman,I think that would be nice.
290,fail,How to Be a Gentleman,"Well, I I've carried this sock around much like I've carried the memory of Lauren around."
291,fail,How to Be a Gentleman,Cat's in the cradle And the silver spoon - Little Boy Blue - What is that?
292,fail,How to Be a Gentleman,What are you doing?
293,fail,How to Be a Gentleman,"Dude, it's a funeral."
294,fail,How to Be a Gentleman,"When you coming home, son?"
295,fail,How to Be a Gentleman,I don't know when But we'll get together then I mean Don't.
296,fail,How to Be a Gentleman,You know we'll have a good time then Okay.
297,fail,How to Be a Gentleman,"Okay, I'm burning this sock."
298,fail,How to Be a Gentleman,Oh.
299,fail,How to Be a Gentleman,Oh.
300,fail,How to Be a Gentleman,"Whoa, whoa, whoa."
301,fail,How to Be a Gentleman,"Okay, it's lighting."
302,fail,How to Be a Gentleman,Okay.
303,fail,How to Be a Gentleman,I got it.
304,fail,How to Be a Gentleman,I got it.
305,fail,How to Be a Gentleman,"Uh, put it in the sink."
306,fail,How to Be a Gentleman,I got it.
307,fail,How to Be a Gentleman,I got it.
308,fail,How to Be a Gentleman,The sink!
309,fail,How to Be a Gentleman,I got it.
310,fail,How to Be a Gentleman,"Bert, that trash can is wicker!"
311,fail,How to Be a Gentleman,What the hell is wicker?
312,fail,How to Be a Gentleman,Aah!
313,fail,How to Be a Gentleman,Move.
314,fail,How to Be a Gentleman,I got a blanket.
315,fail,How to Be a Gentleman,That's not a blanket; that's my blazer.
316,fail,How to Be a Gentleman,You guys okay?
317,fail,How to Be a Gentleman,Oh.
318,fail,How to Be a Gentleman,"Uh, yes."
319,fail,How to Be a Gentleman,"Thank you, Lydia."
320,fail,How to Be a Gentleman,Just a little $19 trash can fire put out by a $500 blazer.
321,fail,How to Be a Gentleman,"Don't worry, ma'am."
322,fail,How to Be a Gentleman,The area is safe.
323,fail,How to Be a Gentleman,I always feel safe around Andre I kill many of her bugs.
324,fail,How to Be a Gentleman,You should be taking off many of her pants.
325,fail,How to Be a Gentleman,You need to ask her out.
326,fail,How to Be a Gentleman,I can't ask her out.
327,fail,How to Be a Gentleman,She's my neighbor.
328,fail,How to Be a Gentleman,That's totally inappropriate.
329,fail,How to Be a Gentleman,I'm just not comfortable with that.
330,fail,How to Be a Gentleman,I hear you.
331,fail,How to Be a Gentleman,I get it.
332,fail,How to Be a Gentleman,I totally get it.
333,fail,How to Be a Gentleman,Thank you.
334,fail,How to Be a Gentleman,- What is that?
335,fail,How to Be a Gentleman,What are you doing?
336,fail,How to Be a Gentleman,- Step two.
337,fail,How to Be a Gentleman,Making you do something you're not comfortable with.
338,fail,How to Be a Gentleman,Bert?
