program,year,rtscore,IMDB,label,premise,url,seasons,episodes,network,notes,actors,viewpilot,viewseason1average,viewseason1finale,viewaverage,viewfinale
How to Be a Gentleman,2011,27,4.7,fail,"Andrew Carlson (David Hornsby) has so immersed himself in his weekly etiquette column that he seems to have lost touch with modern society. After his boss threatens his job if he doesn't spice up the column, Andrew decides to hire a life coach. Lucky for him his past holds the perfect person, Bert Lansing (Kevin Dillon), a fitness trainer whose loud and sloppy behaviour will surely help balance him out. The two may just find the arrangement will make them both better men. The programme is inspired by the book of the same name.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=how-to-be-a-gentleman-2011&episode=s01e01,1,9,cbs,,,8.98,3.1,1.56,3.1,1.56
Accidentally on Purpose,2009,30,6.3,fail,"Billie, a newspaper film critic, has a one-night stand with a much younger man after a humiliating breakup with her charming boss. When she finds herself pregnant, she decides to keep both the baby and the guy, not realizing what chaos her younger boy toy will introduce into her life. When she and Zack decide to live together platonically, Zack's freeloading friends turn her home into a frat house.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=accidentally-on-purpose&episode=s01e01,1,18,cbs,"show was in primetime spot (after HIMYM) for first 15 episodes and averaged 8.23 mil, cbs tested it by moving it to less prime timeslot for last 3 episodes, and last 3 episodes averaged 5.5 mil viewers",,8.91,7.8,5.22,7.8,5.22
Imaginary Mary,2017,25,5.5,fail,"Up until recently, fiercely independent Alice spent her life with a laser focus on advancing her career. All of that goes out the window when she meets Ben and he -- along with his three children -- gets her to reconsider her long-held priorities. Her life in upheaval, things get even more disconcerting when Mary, the mentally unbalanced imaginary friend she played with as a child, returns and tries to help her with the transition from a single girl to a family woman. Rachel Dratch provides the voice for Mary.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=imaginary-mary-2017&episode=s01e01,1,6,abc,3 additional episodes unaired,rachel dratch,5.39,3.15,2.13,3.15,2.13
Rush Hour,2016,23,5.7,fail,"The popular ""Rush Hour"" feature-film franchise is reimagined as a buddy-cop TV drama starring an unlikely team of crime fighters. Jon Foo stars as Detective Lee, a reserved master martial artist from Hong Kong who comes to Los Angeles to investigate his sister's supposed death -- and to look into her connection to a Chinese organized crime ring. Lee is partnered with Detective Carter (Justin Hires), a wisecracking cop who has always preferred to work solo. As tempers flare and cultures and personalities clash, Sgt. Didi Diaz (Aimee Garcia), Carter's friend and former partner, tries to help the two get along -- and realize that they make a formidable team.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=rush-hour-2016&episode=s01e01,1,13,cbs,based on movie of same name,,5.06,3.47,1.61,3.47,1.61
Bad Judge,2014,20,5.9,fail,"Rebecca Wright parties hard, rocks out as the drummer in a band with her best friend and presides over court in Los Angeles as one of the toughest and most-respected --if unorthodox -- criminal court judges in town. While being well-established in her professional life, her wild-child lifestyle has left her untethered in her personal life, despite a bevy of male admirers. But when an 8-year-old whose parents she sentenced shows up needing her help, he seems poised to be the guy who finally ties Rebecca down.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=bad-judge-2014&episode=s01e01,1,13,nbc,inspired by chelsea handler's book,chelsea handler,5.84,3.81,2.86,3.81,2.86
"Are You There, Chelsea?",2012,18,5,fail,"Inspired by comic Chelsea Handler's book ""Are You There Vodka? It's Me, Chelsea,"" this sitcom features Chelsea (Laura Prepon), a strong-willed bartender in her twenties who takes life by the horns and doesn't apologize for it. She is joined by co-workers and friends who realize she is a force to be reckoned with. Chelsea shares her apartment with shy and sheltered Dee Dee. Handler herself has a recurring role as Chelsea's sister, Sloan, a new mom who shares little in common with her carefree sister.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=are-you-there-chelsea-2011&episode=s01e01,1,12,nbc,,,6.18,3.76,3.08,3.76,3.08
Animal Practice,2012,17,5.7,fail,"Dr George Coleman's gift with animals has made him one of New York's top vets, despite his unorthodox style of practicing and his lack of charm when it comes to people. Things are shaken up at the animal hospital where he works when his ex-girlfriend takes over the family business. Despite the fact that she is smart and ambitious, old relationship issues and her lack of experience with animals really start to cramp George's style, and he resists any change to the status quo. George also works with Dr Yamamoto and Dr Doug Jackson, a talented vet who is unlucky in love.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=animal-practice-2012&episode=s01e01,1,9,nbc,pilot aired after summer olympics (primetime airing),,12.8,4.22,3.68,4.22,3.68
Mulaney,2014,17,4.2,fail,"John Mulaney, a stand-up comic searching for his big break, experiences drastic life changes when narcissistic comedy legend and game-show host Lou Cannon hires him as a writer. While the job is everything John was searching for, Lou proves to be a nightmare to work for. John must handle the stress of his new job and the guilt he feels over not being able to be there for his best friends and roommates, a tightly wound personal trainer named Jane, and Motif, a powerhouse comic. Rounding out the people in John's life are Andre, a trust-fund baby who seems to show up at the worst possible moments, and his neighbor Oscar, who often serves as an oracle of sound advice.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=mulaney-2014&episode=s01e01,1,13,fox,,,2.3,1.74,1.14,1.74,1.14
In the Motherhood,2009,17,6,fail,"Often married but currently single, Rosemary is a free spirit whose nontraditional parenting style somehow has produced a son who is stable and responsible. Her recently divorced best friend, Jane, relies heavily on her kooky ""manny,"" Horatio, to help raise her adolescent daughter, Annie, and baby, Sophie, now that Jane has returned to work. Emily, on the other hand, is an overachieving full-time mom whose home is a work of art and whose husband, Jason, is a selfless, sensitive New Age guy who wants his family to have, and be, the best.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=in-the-motherhood-2009&episode=s01e01,1,5,abc,"launched from web-series, 2 additional episodes unaired",chelsea handler,6.69,4.73,2.69,4.73,2.69
Truth Be Told,2015,13,6,fail,"Nothing is off the table when it comes to the topics of conversation between these two couples who are also best friends and neighbors. The four pals can't help but analyze and obsess over every subject under the sun, using one another as sounding boards for their thoughts. From hot-button topics like sex and race to speculation over whether the trusted new baby sitter has engaged in pornographic extracurricular activities, nothing is too taboo for this diverse and incredibly outspoken foursome.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=truth-be-told-2015&episode=s01e01,1,10,nbc,,,2.58,2.14,1.67,2.14,1.67
Rob,2012,11,5.5,fail,"""Saturday Night Live"" alumnus Rob Schneider stars as Rob, a lifelong bachelor who finally gets married, into a tight-knit Mexican-American family. Rob's wife, Maggie -- a book translator who's way out of his league -- must break the news to her overprotective, judgmental parents after she and Rob elope in Las Vegas following a whirlwind romance. Shocked by the news, Maggie's family is skeptical of her choice of husband -- with the exception of the family's black sheep, Maggie's Uncle Hector, who immediately declares himself Rob's best friend. On his end, Rob wants to eventually win over his in-laws and live happily ever after with his wife.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=rob-2012&episode=s01e01,1,8,cbs,"good numbers, cbs had plenty of other sitcoms at the time though",rob schneider,13.47,11.02,8.99,11.02,8.99
I Hate My Teenage Daughter,2011,10,5.2,fail,"Best friends and single mothers Annie (Jaime Pressly) and Nikki (Katie Finneran) were high school outcasts who have gone out of their ways to give their daughters what they felt they lacked. Proving no good deed goes unpunished, all the freedom and clothes they have bestowed on the girls has turned them into exactly the kind of girls who made the mothers' teen years difficult. The women lean on each other and their exes, whose involvement sometimes makes the situation more difficult, as they try to make things right and straighten their girls out.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=i-hate-my-teenage-daughter&episode=s01e01,1,7,fox,6 additional unaired episodes in US,,6.8,4.75,2.92,4.75,2.92
Allen Gregory,2011,12,4.3,fail,"Pretentious 7-year-old Allen Gregory De Longpre (Jonah Hill) doesn't see himself as a child but as an intelligent and worldly young man. He lives in a loft -- with his father, Richard, Richard's partner Jeremy, and his adopted Cambodian sister, Julie -- where his father has home-schooled him. But now, Allen Gregory must leave the nest to attend elementary school and deal with the challenges of relating to kids his own age and teachers who don't understand that he is more than the child he appears to be.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=allen-gregory-2011&episode=s01e01,1,7,fox,animated,jonah hill,4.7,4.16,3.38,4.16,3.38
Hank,2009,8,4.3,fail,"Hank Pryor is a titan of the retail sports world, living the high life in New York -- until he suddenly finds himself out of work, nearly out of money, and spending most of his time with a wife and kids he barely knows. They move the family back to his wife's home town, where Hank is eager to relaunch his career. His wife is less than thrilled with the move, his kids are disdainful, and his brother-in-law seems to delight in Hank's misfortunes, but Hank is not cowed. Despite his setbacks, Hank is confident that his lot will improve -- but the reality of his future may not resemble anything he imagines.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=hank-2009&episode=s01e01,1,5,abc,5 additional unaired,kelsey grammar,8.34,6.36,5.09,6.36,5.09
Work It,2012,5,3.2,fail,"Two unemployed friends decide the only way to find work in the poor economic climate is to pose as women. When Lee (Ben Koldyke) and Angel (Amaury Nolasco) land jobs in pharmaceutical sales, they soon discover that the differences between men and women go deeper than high heels and body shaping undergarments. The two are determined to keep up the ruse -- and their jobs -- however they can, and may just end up better men for it. They just have to keep the secrets from their co-workers and in Lee's case, his wife and teenage daughter.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=work-it-2012&episode=s01e01,1,2,abc,11 additional episodes  unaired,,6.1,5.6,5.1,5.6,5.1
We Are Men,2013,4,5.6,fail,"When Carter Thomas moves into a short-term apartment complex after being left at the altar, he befriends three older single guys, who counsel him about getting on with life and back into the dating scene -- although they aren't the best people to be giving advice about women. Frank Russo has been divorced four times but still considers himself a ladies' man; Gil Bartis was busted having an affair; and Stuart Weber is in the middle of his second divorce. They may be unlucky in love, but at least, they have each other -- and pool-side barbecues.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=we-are-men&episode=s01e01,1,2,cbs,11 additional unaired,,6.61,6.01,5.41,6.01,5.41
The Paul Reiser Show,2011,5,3.5,fail,"Former ""Mad About You"" star Paul Reiser returns to NBC in this self-titled comedy series. Reiser plays himself as the show highlights the quiet life he has experienced since his previous hit show went off the air. In his quest to figure out what he should do next in his life, Paul is assisted by his new ""friends,"" the husbands of his wife's friends. The men, thrown together by circumstance, form an unlikely comradeship.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=the-paul-reiser-show-2011&episode=s01e01,1,2,nbc,5 additional unaired,,3.37,2.86,2.34,2.86,2.34
Emily's Reasons Why Not,2006,0,4.9,fail,"This series, based on a novel by Carrie Gerlach, features Emily Sanders (Heather Graham), a successful young woman with terrific taste, great friends and a fabulous job as an author of self-help books. But the self-help guru may need help with her own love life. After breaking up with her most recent boyfriend, Emily institutes a set of self-imposed guidelines, referred to as the ""Reasons Why Not."" What are those guidelines? If Emily, with the help of her friends, can come up with just five reasons why she should break up with a beau, she does.",https://www.springfieldspringfield.co.uk/view_episode_scripts.php?tv-show=emilys-reasons-why-not-2006&episode=s01e01,1,1,abc,6 additional episodes unaired,heather graham,6.2,6.2,6.2,6.2,6.2
